"","ResponseId","rural","income","major_hss","gender","partyid_true","ct_norm","conj_1_1","conj_2_1","conj_3_1","conj_4_1","conj_5_1","conj_6_1","special_conj_1_1","task","profile","Age","Gender","PreviousOccupation","PoliticalParty","PoliticalStatement1","PoliticalStatement2","Chosen","choice","Inparty"
"1","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","1","1","59","Male","Civil Activist","Law and Justice","PS1_Strong","PS2_Strong","0",0,"No"
"2","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","1","2","62","Male","Member of the Cabinet","Civic Coalition","PS1_Mild","PS2_Mild","1",1,"Yes"
"3","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","2","1","39","Male","Businessperson","Law and Justice","PS1_Mild","PS2_Mild","0",0,"No"
"4","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","2","2","39","Male","Civil Activist","Civic Coalition","PS1_Strong","PS2_Strong","1",1,"Yes"
"5","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","3","1","59","Female","Civil Activist","Civic Coalition","PS1_Mild","PS2_Strong","1",1,"Yes"
"6","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","3","2","59","Male","Member of the Cabinet","Law and Justice","PS1_Mild","PS2_Mild","0",0,"No"
"7","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","4","1","62","Female","Member of the Cabinet","Law and Justice","PS1_Strong","PS2_Strong","0",0,"No"
"8","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","4","2","47","Female","Civil Activist","Law and Justice","PS1_Mild","PS2_Mild","1",1,"No"
"9","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","5","1","62","Female","Civil Activist","Law and Justice","PS1_Mild","PS2_Strong","0",0,"No"
"10","R_208HAZhkCW7IBvH",0,4,"HSS",0,"Civic Coalition",0.466666666666667,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","Candidate B","Candidate B","5","2","59","Female","Businessperson","Civic Coalition","PS1_Mild","PS2_Strong","1",1,"Yes"
